"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","160","Expect the Catalog request to fail if a credential is expired","","Mon Oct 27 03:57:42 GMT 2025","passed","Mon Oct 27 03:57:42 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","catalogRequest_whenCredentialExpired"
"","4081","transferData_failing_withProxyOriginalResponse()","","Mon Oct 27 03:59:15 GMT 2025","passed","Mon Oct 27 03:59:19 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp08to08","transferData_failing_withProxyOriginalResponse"
"","10191","transferData_withAutomaticRefresh()","","Mon Oct 27 04:01:28 GMT 2025","passed","Mon Oct 27 04:01:38 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","transferData_withAutomaticRefresh"
"","75","5.4.3 Verifier should reject Presentations where the holder does not match the credentialSubject.id","","Mon Oct 27 03:55:14 GMT 2025","passed","Mon Oct 27 03:55:14 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_04_03_presentationResponse_holderNotEqualSubjectId"
"","4008","transferData_privateBackend_withConsumerDataPlane()","","Mon Oct 27 03:59:02 GMT 2025","passed","Mon Oct 27 03:59:06 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp08to08","transferData_privateBackend_withConsumerDataPlane"
"","1277","Refresh token is null or empty (missing) [2] ","","Mon Oct 27 03:55:12 GMT 2025","passed","Mon Oct 27 03:55:13 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_invalidRefreshToken"
"","1249","Refresh token success","","Mon Oct 27 03:55:18 GMT 2025","passed","Mon Oct 27 03:55:19 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_success"
"","24","Policy is accepted Precedence","","Mon Oct 27 03:55:52 GMT 2025","passed","Mon Oct 27 03:55:52 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","599","Verify HTTP 403 response when refreshing the token is not allowed","","Mon Oct 27 03:55:25 GMT 2025","passed","Mon Oct 27 03:55:26 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","getEdrWithRefresh_unauthorized"
"","7424","httpPushDataTransfer()","","Mon Oct 27 04:00:13 GMT 2025","passed","Mon Oct 27 04:00:20 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest$Dsp2025to2025","httpPushDataTransfer"
